0xa3cd68,Ending Type,Character 1,Character 2,##UNKNOWN##,Ending Text Ref.,##UNKNOWN##
Eirika Mode Ending Slot #001,0x1,Void,0x0,0x0,VoidEnding,0x0
Eirika Mode Ending Slot #002,0x1,Leeroy,0x0,0x0,LeeroyEnding,0x0
Eirika Mode Ending Slot #003,0x1,Tim,0x0,0x0,TimEnding,0x0
Eirika Mode Ending Slot #004,0x1,Tam,0x0,0x0,TamEnding,0x0
Eirika Mode Ending Slot #005,0x1,Jerome,0x0,0x0,JeromeEnding,0x0
Eirika Mode Ending Slot #006,0x1,Anna,0x0,0x0,Anna1Ending,0x0
Eirika Mode Ending Slot #007,0x1,Bede,0x0,0x0,BedeEnding,0x0
Eirika Mode Ending Slot #008,0x1,Jay,0x0,0x0,JayEnding,0x0
Eirika Mode Ending Slot #009,0x1,NotArch,0x0,0x0,NotArchEnding,0x0
Eirika Mode Ending Slot #010,0x1,Kirsten,0x0,0x0,KirstenEnding,0x0
Eirika Mode Ending Slot #011,0x1,Bob,0x0,0x0,BobEnding,0x0
Eirika Mode Ending Slot #012,0x1,Roshea,0x0,0x0,RosheEnding,0x0
Eirika Mode Ending Slot #013,0x1,Prine,0x0,0x0,PrineEnding,0x0
Eirika Mode Ending Slot #014,0x1,Edge,0x0,0x0,EdgeEnding,0x0
Eirika Mode Ending Slot #015,0x1,Samson,0x0,0x0,SamsonEnding,0x0
Eirika Mode Ending Slot #016,0x1,Arve,0x0,0x0,ArveEnding,0x0
Eirika Mode Ending Slot #017,0x1,Tye,0x0,0x0,TyeEnding,0x0
Eirika Mode Ending Slot #018,0x1,Celicia,0x0,0x0,CeliciaEnding,0x0
Eirika Mode Ending Slot #019,0x1,Eevster,0x0,0x0,EevsterEnding,0x0
Eirika Mode Ending Slot #020,0x1,AnnaWyv,0x0,0x0,Anna2Ending,0x0
Eirika Mode Ending Slot #021,0x1,Nikita,0x0,0x0,NikitaEnding,0x0
Eirika Mode Ending Slot #022,0x1,AnnaRogue,0x0,0x0,Anna3Ending,0x0
Eirika Mode Ending Slot #023,0x1,Edgeworth,0x0,0x0,EdgeworthEnding,0x0
Eirika Mode Ending Slot #024,0x1,Zigludo,0x0,0x0,SigurdEnding,0x0
Eirika Mode Ending Slot #025,0x1,Kaga,0x0,0x0,KagaEnding,0x0
Eirika Mode Ending Slot #026,0x1,Doot,0x0,0x0,DyuteEnding,0x0
Eirika Mode Ending Slot #027,0x1,Celica,0x0,0x0,CelicaEnding,0x0
Eirika Mode Ending Slot #028,0x1,Doowile,0x0,0x0,DoowileEnding,0x0
Eirika Mode Ending Slot #029,0x1,EvilFlorina,0x0,0x0,FlorinaEnding,0x0
Eirika Mode Ending Slot #030,0x1,Bjoern,0x0,0x0,BjornEnding,0x0
Eirika Mode Ending Slot #031,0x1,Jake,0x0,0x0,JakeEnding,0x0
Eirika Mode Ending Slot #032,0x1,Marf,0x0,0x0,MarthEnding,0x0
Eirika Mode Ending Slot #033,0x1,Tiki,0x0,0x0,ChikiEnding,0x0
Eirika Mode Ending Slot #034,0x1,Mark,0x0,0x0,MarkEnding,0x0
Eirika Mode Ending Slot #035,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #036,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #037,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #038,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #039,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #040,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #041,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #042,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #043,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #044,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #045,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #046,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #047,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #048,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #049,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #050,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #051,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #052,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #053,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #054,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #055,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #056,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #057,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #058,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #059,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #060,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #061,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #062,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #063,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #064,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #065,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #066,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #067,0x1,0x0,0x0,0x0,0x0,0x0
NOT TO BE EDITED,0x0,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #001,0x1,Void,0x0,0x0,VoidEnding,0x0
Eirika Mode Ending Slot #002,0x1,Leeroy,0x0,0x0,LeeroyEnding,0x0
Eirika Mode Ending Slot #003,0x1,Tim,0x0,0x0,TimEnding,0x0
Eirika Mode Ending Slot #004,0x1,Tam,0x0,0x0,TamEnding,0x0
Eirika Mode Ending Slot #005,0x1,Jerome,0x0,0x0,JeromeEnding,0x0
Eirika Mode Ending Slot #006,0x1,Anna,0x0,0x0,Anna1Ending,0x0
Eirika Mode Ending Slot #007,0x1,Bede,0x0,0x0,BedeEnding,0x0
Eirika Mode Ending Slot #008,0x1,Jay,0x0,0x0,JayEnding,0x0
Eirika Mode Ending Slot #009,0x1,NotArch,0x0,0x0,NotArchEnding,0x0
Eirika Mode Ending Slot #010,0x1,Kirsten,0x0,0x0,KirstenEnding,0x0
Eirika Mode Ending Slot #011,0x1,Bob,0x0,0x0,BobEnding,0x0
Eirika Mode Ending Slot #012,0x1,Roshea,0x0,0x0,RosheEnding,0x0
Eirika Mode Ending Slot #013,0x1,Prine,0x0,0x0,PrineEnding,0x0
Eirika Mode Ending Slot #014,0x1,Edge,0x0,0x0,EdgeEnding,0x0
Eirika Mode Ending Slot #015,0x1,Samson,0x0,0x0,SamsonEnding,0x0
Eirika Mode Ending Slot #016,0x1,Arve,0x0,0x0,ArveEnding,0x0
Eirika Mode Ending Slot #017,0x1,Tye,0x0,0x0,TyeEnding,0x0
Eirika Mode Ending Slot #018,0x1,Celicia,0x0,0x0,CeliciaEnding,0x0
Eirika Mode Ending Slot #019,0x1,Eevster,0x0,0x0,EevsterEnding,0x0
Eirika Mode Ending Slot #020,0x1,AnnaWyv,0x0,0x0,Anna2Ending,0x0
Eirika Mode Ending Slot #021,0x1,Nikita,0x0,0x0,NikitaEnding,0x0
Eirika Mode Ending Slot #022,0x1,AnnaRogue,0x0,0x0,Anna3Ending,0x0
Eirika Mode Ending Slot #023,0x1,Edgeworth,0x0,0x0,EdgeworthEnding,0x0
Eirika Mode Ending Slot #024,0x1,Zigludo,0x0,0x0,SigurdEnding,0x0
Eirika Mode Ending Slot #025,0x1,Kaga,0x0,0x0,KagaEnding,0x0
Eirika Mode Ending Slot #026,0x1,Doot,0x0,0x0,DyuteEnding,0x0
Eirika Mode Ending Slot #027,0x1,Celica,0x0,0x0,CelicaEnding,0x0
Eirika Mode Ending Slot #028,0x1,Doowile,0x0,0x0,DoowileEnding,0x0
Eirika Mode Ending Slot #029,0x1,EvilFlorina,0x0,0x0,FlorinaEnding,0x0
Eirika Mode Ending Slot #030,0x1,Bjoern,0x0,0x0,BjornEnding,0x0
Eirika Mode Ending Slot #031,0x1,Jake,0x0,0x0,JakeEnding,0x0
Eirika Mode Ending Slot #032,0x1,Marf,0x0,0x0,MarthEnding,0x0
Eirika Mode Ending Slot #033,0x1,Tiki,0x0,0x0,ChikiEnding,0x0
Eirika Mode Ending Slot #034,0x1,Mark,0x0,0x0,MarkEnding,0x0
Eirika Mode Ending Slot #035,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #036,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #037,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #038,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #039,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #040,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #041,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #042,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #043,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #044,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #045,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #046,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #047,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #048,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #049,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #050,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #051,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #052,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #053,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #054,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #055,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #056,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #057,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #058,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #059,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #060,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #061,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #062,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #063,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #064,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #065,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #066,0x1,0x0,0x0,0x0,0x0,0x0
Eirika Mode Ending Slot #067,0x1,0x0,0x0,0x0,0x0,0x0
